posicion,regla_id_dominante,regla_dominante,soporte_busqueda,confianzas_familia,metodo_similitud,Z,numero_condiciones_Z,fitness,soporte_anomalo,confianza_anomala,confianza_inversa,cf_directo,cf_inverso,miembros_familia_jaccard,jaccard_maximo_familia
82,RD_0820,sexo = mujer Y colesterol = arriba_de_lo_normal => enfermedad_cardiovascular = si,0.001,0.60,gaussiana,"presion_diastolica(c=0.197, r=0.291)",1,0.02814072312411242,0.010697194534297936,0.6276544870210987,0.27784920868306323,0.41045293778340636,0.1371203396719851,3,0.9419054364781867
83,RD_0763,colesterol = arriba_de_lo_normal Y fumador = no => enfermedad_cardiovascular = si,0.001,0.60,gaussiana,"presion_diastolica(c=0.171, r=0.300)",1,0.027546294381230026,0.0114881202497596,0.6378407328170791,0.24442809042041702,0.4387590303890407,0.12556456949412603,14,0.9936807065771529
84,RD_0763,colesterol = arriba_de_lo_normal Y fumador = no => enfermedad_cardiovascular = si,0.001,0.60,gaussiana,"presion_diastolica(c=0.154, r=0.286)",1,0.02719369922042795,0.010078695202440492,0.6652391841046126,0.2144403234561807,0.48121861864165105,0.11302014580062736,2,0.9781912716559563
85,RD_0763,colesterol = arriba_de_lo_normal Y fumador = no => enfermedad_cardiovascular = si,0.001,0.60,gaussiana,"presion_diastolica(c=0.196, r=0.300)",1,0.027057960370082068,0.012870511729609756,0.6106017470355489,0.2738406750980799,0.3965465670433945,0.13646800965557765,6,0.9726789548861221
86,RD_0819,sexo = mujer Y colesterol = arriba_de_lo_normal => enfermedad_cardiovascular = si,0.001,0.60,triangular,"presion_diastolica(c=0.173, r=0.229)",1,0.02704468691050417,0.008722609042762682,0.6643799397735748,0.2265612738379917,0.46860157130816016,0.11542721393360048,1,0.0
87,RD_0763,colesterol = arriba_de_lo_normal Y fumador = no => enfermedad_cardiovascular = si,0.001,0.60,gaussiana,"presion_diastolica(c=0.144, r=0.264)",1,0.026954162074315967,0.008785532443173007,0.6974242558109707,0.18692622219517038,0.5310960689468258,0.10150390353205442,3,0.9593548067116595
88,RD_0820,sexo = mujer Y colesterol = arriba_de_lo_normal => enfermedad_cardiovascular = si,0.001,0.60,gaussiana,"presion_diastolica(c=0.182, r=0.193)",1,0.026382378171022472,0.006767033539277251,0.7212145215130465,0.17576710491629224,0.5585896590623237,0.09446067517722845,1,0.0
89,RD_0311,presion_sistolica cercana a 102.00 con radio ±14.32 Y colesterol = normal Y fumador = no Y alcohol = no => enfermedad_cardiovascular = no,0.001,0.60,triangular,"peso_kg(c=0.593, r=0.119) Y presion_diastolica(c=0.414, r=0.074)",2,0.025557607407877908,0.001169295316335578,0.8143286241277385,0.118884726314503,0.7799280640195545,0.09830755650525146,1,0.0
90,RD_1181,sexo = mujer Y colesterol = normal Y alcohol = no Y actividad_fisica = no => enfermedad_cardiovascular = no,0.001,0.60,gaussiana,"presion_sistolica(c=0.658, r=0.184) Y fumador=0",2,0.025415547116396486,0.006943677219820964,0.8105140552283209,0.19559654140340743,0.687087430652273,0.11097079927194448,1,0.0
91,RD_0356,presion_sistolica cercana a 111.46 con radio ±24.60 => enfermedad_cardiovascular = no,0.001,0.60,triangular,colesterol=3,1,0.024192264388755224,0.02473756271560895,0.6791070798452079,0.1693668632642573,0.5171895921486904,0.09355278898110549,27,1.0
92,RD_0819,sexo = mujer Y colesterol = arriba_de_lo_normal => enfermedad_cardiovascular = si,0.001,0.60,triangular,"presion_diastolica(c=0.103, r=0.276)",1,0.02409746831132548,0.007575975671770787,0.6732662154039194,0.1967785888771633,0.48267150772287243,0.09985038654969096,1,0.0
93,RD_0279,presion_sistolica cercana a 111.46 con radio ±24.60 => enfermedad_cardiovascular = no,0.001,0.60,gaussiana,colesterol=3,1,0.023180141674318304,0.020235358393235127,0.6648597508837301,0.16377873953806532,0.5055795658512856,0.0916973044006951,27,1.0
94,RD_1180,sexo = mujer Y colesterol = normal Y alcohol = no Y actividad_fisica = no => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.652, r=0.139) Y glucosa=1",2,0.022711115020656647,0.006194583601543465,0.8142737964598291,0.17449531271953425,0.6932961776400847,0.09827451421106846,1,0.0
95,RD_0820,sexo = mujer Y colesterol = arriba_de_lo_normal => enfermedad_cardiovascular = si,0.001,0.60,gaussiana,"presion_diastolica(c=0.082, r=0.270)",1,0.02239519226732212,0.005480603534506255,0.7373436273526373,0.14235333855860402,0.584127409975009,0.0766791350136446,1,0.0
96,RD_0732,presion_diastolica cercana a 73.27 con radio ±19.49 => enfermedad_cardiovascular = no,0.001,0.60,gaussiana,colesterol=3,1,0.021820617765406343,0.03055786158093444,0.6974537456902549,0.17640184872890105,0.5046670213520935,0.08647530685458699,22,1.0
97,RD_0146,presion_sistolica cercana a 102.00 con radio ±27.78 => enfermedad_cardiovascular = no,0.001,0.60,triangular,colesterol=3,1,0.02167862337661226,0.012518792947045568,0.6280028498418679,0.1573852679666735,0.4755423862717008,0.09117430539294216,9,1.0
98,RD_1139,altura_cm cercana a 159.77 con radio ±5.83 Y sexo = mujer Y colesterol = normal Y actividad_fisica = no => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.558, r=0.113) Y glucosa=1 Y alcohol=0",3,0.020218317836613906,0.0029791043813297497,0.6924094555892747,0.3008309276006863,0.5014827076448864,0.16126831516536397,1,0.0
99,RD_0736,colesterol = arriba_de_lo_normal Y actividad_fisica = si => enfermedad_cardiovascular = si,0.001,0.60,gaussiana,"presion_diastolica(c=0.172, r=0.278)",1,0.019472372203131767,0.00797574880808613,0.609599282309596,0.20191769134395268,0.39979209389094356,0.09741249264645788,1,0.0
100,RD_0820,sexo = mujer Y colesterol = arriba_de_lo_normal => enfermedad_cardiovascular = si,0.001,0.60,gaussiana,"presion_diastolica(c=0.206, r=0.196)",1,0.01934606542761218,0.00689530019818272,0.6509340319985529,0.17909870644630443,0.4473122173310422,0.08649915954920026,1,0.0
101,RD_1037,edad_anios cercana a 52.27 con radio ±2.26 Y colesterol = normal Y glucosa = normal Y alcohol = no => enfermedad_cardiovascular = no,0.001,0.60,gaussiana,"presion_sistolica(c=0.580, r=0.168) Y presion_diastolica(c=0.621, r=0.300)",2,0.018801079597474228,0.0052969777966955615,0.6152697150653816,0.280785227466992,0.40121800972209737,0.14058002738085024,1,0.0
102,RD_0735,colesterol = arriba_de_lo_normal Y actividad_fisica = si => enfermedad_cardiovascular = si,0.001,0.60,triangular,"presion_diastolica(c=0.168, r=0.237)",1,0.018735849111623275,0.007671199996713511,0.6105185554474012,0.1942075948535066,0.4012053981708345,0.09339779173980851,1,0.0
103,RD_0820,sexo = mujer Y colesterol = arriba_de_lo_normal => enfermedad_cardiovascular = si,0.001,0.60,gaussiana,"presion_diastolica(c=0.174, r=0.162) Y glucosa=1",2,0.018255415710590184,0.004742229148247887,0.8411359788401076,0.12317478307137368,0.7484652998301704,0.07317139103736302,1,0.0
104,RD_0819,sexo = mujer Y colesterol = arriba_de_lo_normal => enfermedad_cardiovascular = si,0.001,0.60,triangular,"presion_sistolica(c=0.378, r=0.104) Y actividad_fisica=1",2,0.01806965283401962,0.010378987986392038,0.6273900646670582,0.26958410354265033,0.41003426905617546,0.1322059217802406,1,0.0
105,RD_0763,colesterol = arriba_de_lo_normal Y fumador = no => enfermedad_cardiovascular = si,0.001,0.60,gaussiana,"presion_diastolica(c=0.158, r=0.260) Y glucosa=1",2,0.017973429731757036,0.006892769647452139,0.766406241212293,0.1466546733500455,0.6379979761477054,0.08451482796363577,1,0.0
106,RD_0819,sexo = mujer Y colesterol = arriba_de_lo_normal => enfermedad_cardiovascular = si,0.001,0.60,triangular,"presion_sistolica(c=0.427, r=0.103) Y fumador=0 Y actividad_fisica=1",3,0.017684571002125817,0.013722069230089111,0.614534518377098,0.35641738259971717,0.38967965409707195,0.18152932354759754,1,0.0
107,RD_1037,edad_anios cercana a 52.27 con radio ±2.26 Y colesterol = normal Y glucosa = normal Y alcohol = no => enfermedad_cardiovascular = no,0.001,0.60,gaussiana,"peso_kg(c=0.529, r=0.087)",1,0.01764630625209702,0.0030457210768596987,0.6445812440179032,0.16144932416000718,0.44683754198029196,0.07898309606615517,1,0.0
108,RD_0763,colesterol = arriba_de_lo_normal Y fumador = no => enfermedad_cardiovascular = si,0.001,0.60,gaussiana,"presion_diastolica(c=0.160, r=0.300) Y glucosa=1",2,0.01727761342160703,0.00791669879393666,0.7155893903229003,0.16844039987099274,0.559246715997477,0.09268331629336726,1,0.0
